时间,桨距角,发电机转速,平均风速,有功功率
	2020-01-01 00:00:00	,49.81,0.32,1.84,-0.18
	2020-01-01 00:10:00	,49.81,0.28,1.66,-0.18
	2020-01-01 00:20:00	,49.81,0.28,1.56,-0.12
	2020-01-01 00:30:00	,49.81,0.28,1.53,-0.22
	2020-01-01 00:40:00	,49.81,0.28,1.51,-0.14
	2020-01-01 00:50:00	,49.81,0.28,1.3,-0.17
	2020-01-01 01:00:00	,49.81,0.28,1.42,-0.16
	2020-01-01 01:10:00	,49.81,0.29,1.64,-0.12
	2020-01-01 01:20:00	,49.81,0.28,1.57,-0.12
	2020-01-01 01:30:00	,49.81,0.28,1.45,-0.16
	2020-01-01 01:40:00	,49.81,0.38,1.62,-0.03
	2020-01-01 01:50:00	,49.81,0.39,1.67,-0.09
	2020-01-01 02:00:00	,49.81,0.32,1.68,-0.2
	2020-01-01 02:10:00	,49.81,0.32,1.65,-0.16
	2020-01-01 02:20:00	,49.81,0.33,1.6,-0.2
	2020-01-01 02:30:00	,49.81,0.4,1.86,-0.11
	2020-01-01 02:40:00	,49.81,0.4,1.88,-0.19
	2020-01-01 02:50:00	,49.81,0.4,1.99,-0.28
	2020-01-01 03:00:00	,49.81,0.33,2.12,-0.3
	2020-01-01 03:10:00	,49.81,0.38,1.9,-0.17
	2020-01-01 03:20:00	,49.81,0.44,1.6,-0.11
	2020-01-01 03:30:00	,49.81,0.33,1.65,-0.17
	2020-01-01 03:40:00	,49.81,0.33,1.85,-0.28
	2020-01-01 03:50:00	,49.81,0.37,2.13,-0.17
	2020-01-01 04:00:00	,49.81,0.4,2.12,-0.19
	2020-01-01 04:10:00	,49.81,0.36,2.01,-0.09
	2020-01-01 04:20:00	,49.81,0.43,2.14,-0.2
	2020-01-01 04:30:00	,49.81,0.5,2.24,-0.21
	2020-01-01 04:40:00	,49.81,0.49,2.1,-0.12
	2020-01-01 04:50:00	,49.81,0.57,2.16,-0.16
	2020-01-01 05:00:00	,49.81,0.47,1.85,-0.02
	2020-01-01 05:10:00	,49.81,0.4,1.6,-0.11
	2020-01-01 05:20:00	,49.81,0.51,2.01,-0.22
	2020-01-01 05:30:00	,49.81,0.38,1.28,-0.13
	2020-01-01 05:40:00	,49.81,0.36,1.27,-0.27
	2020-01-01 05:50:00	,49.81,0.34,1.14,-0.1
	2020-01-01 06:00:00	,49.81,0.32,1.1,-0.19
	2020-01-01 06:10:00	,49.81,0.28,0.98,-0.19
	2020-01-01 06:20:00	,49.81,0.29,1.55,-0.2
	2020-01-01 06:30:00	,49.81,0.46,1.96,-0.21
	2020-01-01 06:40:00	,49.81,0.52,2.04,-0.2
	2020-01-01 06:50:00	,49.81,0.56,2.44,-0.14
	2020-01-01 07:00:00	,4.22,5.5,2.67,25.43
	2020-01-01 07:10:00	,0.29,6.51,2.84,56.34
	2020-01-01 07:20:00	,0.29,6.51,2.97,64.75
	2020-01-01 07:30:00	,0.29,6.51,3.1,81.97
	2020-01-01 07:40:00	,0.29,6.51,3.32,94.59
	2020-01-01 07:50:00	,0.29,6.5,2.99,65.5
	2020-01-01 08:00:00	,0.29,6.51,2.68,46.86
	2020-01-01 08:10:00	,0.29,6.51,2.74,51.07
	2020-01-01 08:20:00	,0.29,6.51,2.59,40.83
	2020-01-01 08:30:00	,0.29,6.51,2.65,59.06
	2020-01-01 08:40:00	,0.29,6.51,2.88,63.92
	2020-01-01 08:50:00	,0.29,6.51,3.23,96.46
	2020-01-01 09:00:00	,0.29,6.54,3.78,134.51
	2020-01-01 09:10:00	,0.29,6.71,3.93,145.12
	2020-01-01 09:20:00	,0.29,6.89,4.03,161.73
	2020-01-01 09:30:00	,0.29,6.51,3.45,107.41
	2020-01-01 09:40:00	,0.29,6.5,2.63,52.15
	2020-01-01 09:50:00	,0.29,6.51,2.28,28.65
	2020-01-01 10:00:00	,0.29,6.51,1.89,20.68
	2020-01-01 10:10:00	,0.29,6.51,2.05,23.22
	2020-01-01 10:20:00	,0.29,6.11,1.32,-3.91
	2020-01-01 10:30:00	,0.29,6.36,1.48,1.37
	2020-01-01 10:40:00	,0.29,6.51,2.39,35.85
	2020-01-01 10:50:00	,0.29,6.5,2.2,14.85
	2020-01-01 11:00:00	,0.29,6.51,2.35,37.1
	2020-01-01 11:10:00	,0.29,6.51,2.48,47.7
	2020-01-01 11:20:00	,0.29,6.51,2.62,50.04
	2020-01-01 11:30:00	,0.29,6.6,3.24,101.0
	2020-01-01 11:40:00	,0.29,6.75,3.29,119.11
	2020-01-01 11:50:00	,0.29,7.78,4.24,240.88
	2020-01-01 12:00:00	,0.29,6.86,3.63,149.7
	2020-01-01 12:10:00	,0.29,6.82,3.34,133.54
	2020-01-01 12:20:00	,0.29,6.78,3.4,125.95
	2020-01-01 12:30:00	,0.29,7.13,3.79,159.25
	2020-01-01 12:40:00	,0.29,6.95,3.72,163.64
	2020-01-01 12:50:00	,0.29,7.16,4.19,182.05
	2020-01-01 13:00:00	,0.29,7.01,3.93,162.53
	2020-01-01 13:10:00	,0.29,6.66,3.38,125.7
	2020-01-01 13:20:00	,0.29,6.5,2.47,47.18
	2020-01-01 13:30:00	,0.29,6.78,3.42,119.79
	2020-01-01 13:40:00	,0.29,6.69,3.25,110.11
	2020-01-01 13:50:00	,0.29,6.99,3.82,164.65
	2020-01-01 14:00:00	,0.29,6.65,2.86,81.23
	2020-01-01 14:10:00	,0.29,7.19,3.64,168.6
	2020-01-01 14:20:00	,0.29,7.07,3.59,164.27
	2020-01-01 14:30:00	,0.29,6.77,3.05,110.0
	2020-01-01 14:40:00	,0.29,8.07,4.47,268.72
	2020-01-01 14:50:00	,0.29,8.45,4.67,306.61
	2020-01-01 15:00:00	,0.29,7.81,4.29,242.29
	2020-01-01 15:10:00	,0.29,7.24,3.94,174.49
	2020-01-01 15:20:00	,0.29,7.84,4.13,242.96
	2020-01-01 15:30:00	,0.29,6.59,3.24,106.32
	2020-01-01 15:40:00	,0.29,7.06,3.89,161.38
	2020-01-01 15:50:00	,0.29,6.75,3.62,135.41
	2020-01-01 16:00:00	,0.29,7.59,4.26,218.6
	2020-01-01 16:10:00	,0.29,6.74,3.52,145.29
	2020-01-01 16:20:00	,0.29,7.02,3.78,171.76
	2020-01-01 16:30:00	,0.29,7.37,4.13,199.96
	2020-01-01 16:40:00	,0.29,7.54,4.22,214.06
	2020-01-01 16:50:00	,0.29,7.62,4.41,220.76
	2020-01-01 17:00:00	,0.29,6.98,4.2,167.99
	2020-01-01 17:10:00	,0.29,6.72,3.88,147.34
	2020-01-01 17:20:00	,0.29,6.51,3.21,103.09
	2020-01-01 17:30:00	,0.29,6.83,3.75,152.09
	2020-01-01 17:40:00	,0.29,7.63,4.33,220.72
	2020-01-01 17:50:00	,0.29,7.79,4.32,235.77
	2020-01-01 18:00:00	,0.29,8.18,4.52,274.1
	2020-01-01 18:10:00	,0.29,7.31,4.15,195.47
	2020-01-01 18:20:00	,0.29,6.67,3.65,135.27
	2020-01-01 18:30:00	,0.29,6.89,4.08,158.95
	2020-01-01 18:40:00	,0.29,6.51,3.6,105.4
	2020-01-01 18:50:00	,0.29,6.5,2.87,67.46
	2020-01-01 19:00:00	,0.29,6.51,3.05,83.75
	2020-01-01 19:10:00	,0.29,6.51,3.28,89.36
	2020-01-01 19:20:00	,0.29,6.51,3.12,89.38
